id,stock_code,stock_name,price
435,301300,바이브컴퍼니,17200
436,64550,바이오니아,27600
437,314930,바이오다인,18200
438,208710,바이오로그디바이스,1005
439,86820,바이오솔루션,11600
440,38460,바이오스마트,3320
441,251120,바이오에프디엔씨,17900
442,86040,바이오톡스텍,7280
443,99430,바이오플러스,28400
444,32980,바이온,886
445,222160,바이옵트로,4655
446,308080,바이젠셀,8130
447,43150,바텍,31100
448,323990,박셀바이오,37250
449,267790,배럴,5390
450,46310,백금T&A,2500
451,331520,밸로프,1310
452,66410,버킷스튜디오,1130
453,382900,범한퓨얼셀,28350
454,206400,베노홀딩스,3285
455,19010,베뉴지,2175
456,177350,베셀,5630
457,299910,베스파,3165
458,225530,보광산업,6000
459,250000,보라티알,11200
460,310210,보로노이,21200
461,6910,보성파워텍,4130
462,226340,본느,1380
463,14470,부방,1900
464,8470,부스타,5120
465,338220,뷰노,6140
466,100120,뷰웍스,31100
467,337930,브랜드엑스코퍼레이션,4700
468,99390,브레인즈컴퍼니,7370
469,64480,브리지텍,4040
470,288330,브릿지바이오테라퓨틱스,10500
471,365900,브이씨,6350
472,251630,브이원텍,6280
473,18290,브이티지엠피,5260
474,44480,블루베리 NFT,1295
475,33560,블루콤,4035
476,369370,블리츠웨이,2035
477,126340,비나텍,44000
478,121800,비덴트,3665
479,148140,비디아이,640
480,82800,비보존 헬스케어,781
481,318410,비비씨,9180
482,419540,비스토스,2530
483,146320,비씨엔씨,16200
484,200780,비씨월드제약,6900
485,141000,비아트론,8400
486,90460,비에이치,23450
487,83650,비에이치아이,5500
488,142760,비엘,4165
489,65170,비엘팜텍,778
490,86670,비엠티,13950
491,335890,비올,2290
492,138580,비즈니스온,7740
493,82920,비츠로셀,12400
494,54220,비츠로시스,1530
495,42370,비츠로테크,5730
496,50090,비케이홀딩스,479
497,307870,비투엔,1960
498,357880,비트나인,6650
499,32850,비트컴퓨터,5830
500,148780,비플라이소프트,933
501,238200,비피도,6240
502,93190,빅솔론,7930
503,65450,빅텍,6680
504,72950,빛샘전자,5910
505,143240,사람인에이치알,32950
506,419120,산돌,18000
507,100090,삼강엠앤티,20350
508,122350,삼기,4075
509,14970,삼륭물산,5520
510,18310,삼목에스폼,17600
511,53700,삼보모터스,5770
512,9620,삼보산업,1030
513,23600,삼보판지,9950
514,380320,삼성머스트스팩5호,3745
515,377630,삼성스팩4호,5910
516,425290,삼성스팩6호,3230
517,439250,삼성스팩7호,11750
518,9300,삼아제약,14600
519,225190,삼양옵틱스,10700
520,361670,삼영에스앤씨,7120
521,54540,삼영엠텍,3955
522,65570,삼영이엔씨,6460
523,32280,삼일,1960
524,2290,삼일기업공사,4065
525,37460,삼지전자,8240
526,32750,삼진,7100
527,54090,삼진엘앤디,2765
528,250,삼천당제약,32000
529,24950,삼천리자전거,6640
530,38500,삼표시멘트,3565
531,17480,삼현철강,4630
532,46390,삼화네트웍스,2435
533,27580,상보,1460
534,38540,상상인,6510
535,101000,상상인인더스트리,562
536,415580,상상인제3호스팩,1995
537,91580,상신이디피,16500
538,263810,상신전자,3130
539,89980,상아프론테크,25500
540,42940,상지카일룸,592
541,42600,새로닉스,18650
542,107600,새빗켐,119200
543,252990,샘씨엔에스,4040
544,378800,샤페론,7480
545,294630,서남,2280
546,38070,서린바이오,12500
547,6730,서부T&D,6780
548,79650,서산,1950
549,100660,서암기계공업,5890
550,19770,서연탑메탈,4430
551,43710,서울리거,927
552,92190,서울바이오시스,5450
553,46890,서울반도체,10650
554,63170,서울옥션,17600
555,27040,서울전자통신,580
556,18680,서울제약,4210
557,93920,서원인텍,5720
